Do you give consent for AIR to use the data from this survey?,Did you work in Edmonds School District in 2021-2022?,Please select a primary role describing your work with Edmonds Public Schools during the 2021-2022 school year. Select the answer that is most accurate.,,What grade levels are included at the site(s) in which you taught/worked in 2021-2022? (Check all that apply),,,PD topics,data-driven decisions why disagree,climate culture facilitators,climate culture barriers,effective communication,ineffective communication,communication recommendations
Response,Response,Response,Other (please specify),Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"Kids on the spectrum who do NOT have IEP's, ADHD, ODD","I think some of the kids have the wrong placement.  Last time this happened, the excuse was busing/transportation/money.",Our teachers love our students and go above and beyond to keep them safe and do everything they can to make sure they are having success in the classroom.,Too many highly impacted kids in gen ed and not enough support.  It is impacting the health and well being of staff and students in the highly impacted classrooms.  Mental health is a problem and needs to be address properly.,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,"I had no guidance on how to run my SPED class last year, as far as a class points system. I had to do it all myself in my first year overall as a teacher. ",,,,,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,,"I have seen classroom numbers as well as the population of a contained special education classroom vary greatly with students who do not necessarily benefit from one another. Likely, they were placed there because there was thought to be space available. For example, high-need with nearly fully integrated students. ","Remembering the special education students! I am referring to those in a contained classroom. Too many times the 'homeroom' teachers would go to field trips, assemblies, special events and completely forget that they have an additional student on their roster. ",,"Paper... sadly. Paper notices from school can be the most effective because they are rare and therefore most noticed. Also, email from individual staff rather than mass district messages get more notice. ","Often times, emails. While effective, parents (and I am one in addition to an employee) are barraged with so many that important messages are lost among lesser ones. ",
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Awareness and managing students with behavior challenges. ,"While working with one of my students who we were discussing alternate placement I was told one thing and the parent something different. I only was given answers when I followed up with my Principal. Our school based team was told that “the team” had made the decision yet none of us at the school level  were part of that discussion. We were also told by the district level team that that student was doing fine, and her issues did not need to be addressed. However, they had not been in the building  more than a few minutes to interact or see what was happening with the student.","Clear communication between staff members families in the district. District staff, honestly listening to the needs of special education teachers.",Lack of trust and respect between administration at the school and district levels and teachers.  New SPED teachers who appear to not have many supports or mentors. ,,Decisions being made from a top down model. ,"There seems to be a large level of distrust between staff and admin. Many colleagues talk about not feeling supported or heard. Having some sort of system for open communication would be ideal.  We used to have building surveys, which gave staff some sort of a platform for expressing concerns. That seems to have gone away."
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,"How to fully support students with IEPs within a full gen ed class, meeting their needs, accommodations, and differentiating without excluding them from what all other students are learning. As well as more training for all teachers on supporting MLs on IEPs.","There have been multiple placement decisions made for I.S. classes in my building that do not include the Special Education teacher of that class, or ML teacher when appropriate. The team is not all in the loop and it seems that just a couple staff/admin are making decisions without the whole team, and may be going through motions and not legitimately going through the right processes. I also see Learning Support struggle to place, group, schedule students' legal minutes towards their goals because they do not have enough staff or time. ","For starters, just the way all special education classes are included in things, from emails to announcements, awards, and discussions in school data. I.S. classes are always an after thought, separate, or completely left off. Our I.S. teachers do a great job of getting students into the LRE, and spend more time in gen ed classrooms/settings, but the way gen ed teachers and students talk to, or treat students in SpEd is not always equitable or dignifying. ","Lack of staff to support all student needs. Transparency and communication between programs including district program leads communicating to all staff, maybe, so gen ed teachers understand where special education and other support staff are coming from, how they are making decisions, and may change their mindset to respect ALL staff as professionals and experts in their areas. ","Emails, for the most part. In person job alikes, sometimes.","DLT newsletters or emails. There is a lot of important information that principals get from district leadership, but our principal just copy and pastes or forwards emails to staff. There is no emphasis on importance or explanation of topics. Also, there are things that are shared to principals, in their weekly admin meetings, from different departments, and I know that not all principals pay attention or share with their staff. ","I know it is impossible to make everyone happy, and communication styles vary for each individual but, as far as special education is concerned, I think transparency from district admin and listening to staff are improvements that can be made. "
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,Social emotional learning,,1. Effective communication between students and staff where students feel heard and valued. ,,"School level communication is clear, direct and respectful ",Need to know specifically who to contact at dictrict level if there are specific concerns. ,"Need to know specifically who to contact at dictrict level if there are specific concerns. Also, to have time guidelines when a response would be given."
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"OT/PT (handwriting), Speech (communication delays), ADHD, executive functioning, reading disabilities, general learning disabilities, technology integration to support inclusion","Referral in kindergarten is highly situational, dependent on the staff doing the intake.  Appears very biased and unfair.",Clearly demonstrated and communicated rules and processes for all students and staff.  Strong and consistent leadership and decisions from the district leadership team.,People/staff not interested or who don't know how to effectively and efficiently do their job.  ,"Published, open (transparent) communication available for all to see and reference.",The referral and intake process of students needing SPED support(s) or interventions.,Better organization and effectiveness of Edmonds' SPED department (it is a mess!).
Yes,Yes,Other (please specify),MLL,,Middle school (grades 7-8),,MLL students who receive SPED services. When to know it is no longer a language issie. Providing intense literacy support to sudents who cannot read or write in their first language. ,,"Our students in our special ed program are front and center in the building. They have had some good attendance at school dances. They are in charge of collecting recycing from the classrooms. Gen Ed students know who they are, as they are  an inregral part of the school community. ","Not enough teachers and not enough para support. The ratio of teacher to student did not change after covid, yet the needs of the students have increased dramatically.",Smore,Not sure,Admin should answer emails and be transparent when possible.
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"Knowledge of the Special Education process, the grieving circle parents go through, working with parents",,The Special Education teachers at our school work very hard to ensure the IEP goals are met. They provide strategies for the general education classroom teacher to use in the general ed setting.,Not enough help. More Special Education teachers are needed at all levels. AND Support staff: Speech Pathologists and Psychologists are needed as well.,Phone calls and emails.,Paper notifications. ,Keep it simple. Emails and phone calls home still work. 
